meeting_key;session_key;location;date_start;date_end;session_type;session_name;country_key;country_code;country_name;circuit_key;circuit_short_name;gmt_offset;year
1228;9462;Sakhir;2024-02-21T07:00:00+00:00;2024-02-21T16:00:00+00:00;Practice;Practice 1;36;BRN;Bahrain;63;Sakhir;03:00:00;2024
1228;9463;Sakhir;2024-02-22T07:00:00+00:00;2024-02-22T16:00:00+00:00;Practice;Practice 2;36;BRN;Bahrain;63;Sakhir;03:00:00;2024
1228;9464;Sakhir;2024-02-23T07:00:00+00:00;2024-02-23T16:00:00+00:00;Practice;Practice 3;36;BRN;Bahrain;63;Sakhir;03:00:00;2024
1229;9465;Sakhir;2024-02-29T11:30:00+00:00;2024-02-29T12:30:00+00:00;Practice;Practice 1;36;BRN;Bahrain;63;Sakhir;03:00:00;2024
1229;9466;Sakhir;2024-02-29T15:00:00+00:00;2024-02-29T16:00:00+00:00;Practice;Practice 2;36;BRN;Bahrain;63;Sakhir;03:00:00;2024
1229;9467;Sakhir;2024-03-01T12:30:00+00:00;2024-03-01T13:30:00+00:00;Practice;Practice 3;36;BRN;Bahrain;63;Sakhir;03:00:00;2024
1229;9468;Sakhir;2024-03-01T16:00:00+00:00;2024-03-01T17:00:00+00:00;Qualifying;Qualifying;36;BRN;Bahrain;63;Sakhir;03:00:00;2024
1229;9472;Sakhir;2024-03-02T15:00:00+00:00;2024-03-02T17:00:00+00:00;Race;Race;36;BRN;Bahrain;63;Sakhir;03:00:00;2024
1230;9473;Jeddah;2024-03-07T13:30:00+00:00;2024-03-07T14:30:00+00:00;Practice;Practice 1;153;KSA;Saudi Arabia;149;Jeddah;03:00:00;2024
1230;9474;Jeddah;2024-03-07T17:00:00+00:00;2024-03-07T18:00:00+00:00;Practice;Practice 2;153;KSA;Saudi Arabia;149;Jeddah;03:00:00;2024
1230;9475;Jeddah;2024-03-08T13:30:00+00:00;2024-03-08T14:30:00+00:00;Practice;Practice 3;153;KSA;Saudi Arabia;149;Jeddah;03:00:00;2024
1230;9476;Jeddah;2024-03-08T17:00:00+00:00;2024-03-08T18:00:00+00:00;Qualifying;Qualifying;153;KSA;Saudi Arabia;149;Jeddah;03:00:00;2024
1230;9480;Jeddah;2024-03-09T17:00:00+00:00;2024-03-09T19:00:00+00:00;Race;Race;153;KSA;Saudi Arabia;149;Jeddah;03:00:00;2024
1231;9481;Melbourne;2024-03-22T01:30:00+00:00;2024-03-22T02:30:00+00:00;Practice;Practice 1;5;AUS;Australia;10;Melbourne;11:00:00;2024
1231;9482;Melbourne;2024-03-22T05:00:00+00:00;2024-03-22T06:00:00+00:00;Practice;Practice 2;5;AUS;Australia;10;Melbourne;11:00:00;2024
1231;9483;Melbourne;2024-03-23T01:30:00+00:00;2024-03-23T02:30:00+00:00;Practice;Practice 3;5;AUS;Australia;10;Melbourne;11:00:00;2024
1231;9484;Melbourne;2024-03-23T05:00:00+00:00;2024-03-23T06:00:00+00:00;Qualifying;Qualifying;5;AUS;Australia;10;Melbourne;11:00:00;2024
1231;9488;Melbourne;2024-03-24T04:00:00+00:00;2024-03-24T06:00:00+00:00;Race;Race;5;AUS;Australia;10;Melbourne;11:00:00;2024
1232;9489;Suzuka;2024-04-05T02:30:00+00:00;2024-04-05T03:30:00+00:00;Practice;Practice 1;4;JPN;Japan;46;Suzuka;09:00:00;2024
1232;9490;Suzuka;2024-04-05T06:00:00+00:00;2024-04-05T07:00:00+00:00;Practice;Practice 2;4;JPN;Japan;46;Suzuka;09:00:00;2024
